"","quintile","2005","2010","2015","2016","2017","2018"
"1","Poorest",43.2836694860117,71.4179084945339,105.398541937145,123.243277742499,144.714591076371,182.581951722921
"2","2nd",85.9843638948117,128.74333866231,220.211192128509,225.940897679551,240.408634373448,274.313570305325
"3","3rd",99.5863259668508,169.568614150765,243.737194789005,275.434094855187,267.221103995071,346.373973635115
"4","4th",116.92254969157,230.737514181271,294.410177031565,291.547496848671,284.078206794723,311.733590206208
"5","Richest",167.80321872714,314.337917670487,385.999918287306,444.576017003119,541.739887499015,471.503026139354
"6","Total",101.369492934331,177.385046807231,244.060050373211,264.313829164239,286.776958294826,313.458316532585
